concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - AcuGLODBC - 7.1,Micro Focus,AcuGLODBC,7.1,,2010-12-31
Micro Focus - AcuGLODBC - 7.2,Micro Focus,AcuGLODBC,7.2,,2010-12-31
Micro Focus - AcuGLODBC - 7.2,Micro Focus,AcuGLODBC,7.2,,2010-12-31
Micro Focus - AcuGLODBC - 7.2,Micro Focus,AcuGLODBC,7.2,,2010-12-31
Micro Focus - AcuGLODBCJPN - 7.2,Micro Focus,AcuGLODBCJPN,7.2,,2011-12-31
Micro Focus - AcuGLODBC - 7.3,Micro Focus,AcuGLODBC,7.3,,2010-12-31
Micro Focus - AcuGLODBC - 8.0,Micro Focus,AcuGLODBC,8.0,,2017-02-28
Micro Focus - AcuGLODBC - 8.1,Micro Focus,AcuGLODBC,8.1,,2017-02-28
Micro Focus - AcuGLODBC - 8.1,Micro Focus,AcuGLODBC,8.1,,2017-02-28
Micro Focus - AcuGLODBC - 8.1,Micro Focus,AcuGLODBC,8.1,,2017-02-28
Micro Focus - AcuGLODBC - 8.1,Micro Focus,AcuGLODBC,8.1,,2017-02-28
Micro Focus - AcuGLODBC - 9.0,Micro Focus,AcuGLODBC,9.0,,
Micro Focus - AcuGLODBC - 9.0,Micro Focus,AcuGLODBC,9.0,,
Micro Focus - AcuGLODBC - 9.1,Micro Focus,AcuGLODBC,9.1,,
Micro Focus - AcuGLODBC - 9.1,Micro Focus,AcuGLODBC,9.1,,
Micro Focus - AcuGLODBC - 9.1,Micro Focus,AcuGLODBC,9.1,,
Micro Focus - AcuGLODBC - 9.12.1,Micro Focus,AcuGLODBC,9.12.1,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLODBC - 9.2,Micro Focus,AcuGLODBC,9.2,,
Micro Focus - AcuGLOracle - 10.4.0,Micro Focus,AcuGLOracle,10.4.0,2021-04-29,
Micro Focus - AcuGLOracle - 10.3,Micro Focus,AcuGLOracle,10.3,2020-06-30,2021-11-30
Micro Focus - AcuGLOracle - 10.3,Micro Focus,AcuGLOracle,10.3,2019-11-27,2021-04-30
Micro Focus - AcuGLOracle - 10.0,Micro Focus,AcuGLOracle,10.0,,
Micro Focus - AcuGLOracle - 10.0,Micro Focus,AcuGLOracle,10.0,,
Micro Focus - AcuGLOracle - 10.1,Micro Focus,AcuGLOracle,10.1,,
Micro Focus - AcuGLOracle - 10.1,Micro Focus,AcuGLOracle,10.1,,
Micro Focus - AcuGLOracle - 10.2,Micro Focus,AcuGLOracle,10.2,,
Micro Focus - AcuGLOracle - 10.2,Micro Focus,AcuGLOracle,10.2,,
Micro Focus - AcuGLOracle - 4.10.2,Micro Focus,AcuGLOracle,4.10.2,,2006-10-31
Micro Focus - AcuGLOracle - 5.10.2,Micro Focus,AcuGLOracle,5.10.2,,2006-10-31
Micro Focus - AcuGLOracle - 5.2,Micro Focus,AcuGLOracle,5.2,,2006-10-31
Micro Focus - AcuGLOracle - 5.21.1,Micro Focus,AcuGLOracle,5.21.1,,2006-10-31
Micro Focus - AcuGLOracle - 6.0,Micro Focus,AcuGLOracle,6.0,,2008-12-31
Micro Focus - AcuGLOracle - 6.1,Micro Focus,AcuGLOracle,6.1,,2008-12-31
Micro Focus - AcuGLOracle - 6.2,Micro Focus,AcuGLOracle,6.2,,2008-12-31
Micro Focus - AcuGLOracle - 6.20.1,Micro Focus,AcuGLOracle,6.20.1,,2008-12-31
Micro Focus - AcuGLOracle - 7.0,Micro Focus,AcuGLOracle,7.0,,2010-12-31
Micro Focus - AcuGLOracle - 7.0,Micro Focus,AcuGLOracle,7.0,,2010-12-31
Micro Focus - AcuGLOracle - 7.0,Micro Focus,AcuGLOracle,7.0,,2010-12-31
Micro Focus - AcuGLOracle - 7.1,Micro Focus,AcuGLOracle,7.1,,2010-12-31
Micro Focus - AcuGLOracle - 7.2,Micro Focus,AcuGLOracle,7.2,,2010-12-31
Micro Focus - AcuGLOracle - 7.2,Micro Focus,AcuGLOracle,7.2,,2010-12-31
Micro Focus - AcuGLOracle - 7.2,Micro Focus,AcuGLOracle,7.2,,2010-12-31
Micro Focus - AcuGLOracleJPN - 7.2,Micro Focus,AcuGLOracleJPN,7.2,,2011-12-31
Micro Focus - AcuGLOracle - 7.3,Micro Focus,AcuGLOracle,7.3,,2010-12-31
Micro Focus - AcuGLOracle - 8.0,Micro Focus,AcuGLOracle,8.0,,2017-02-28
Micro Focus - AcuGLOracle - 8.0,Micro Focus,AcuGLOracle,8.0,,2017-02-28
Micro Focus - AcuGLOracle - 8.1,Micro Focus,AcuGLOracle,8.1,,2017-02-28
