concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - DirectoryResourceAdministrator - 9.0,Micro Focus,DirectoryResourceAdministrator,9,30/09/15,29/06/18
Micro Focus - Directory - 9.2,Micro Focus,Directory,9.2,31/10/19,31/10/22
Micro Focus - Directory - 9.1,Micro Focus,Directory,9.1,01/03/18,31/10/20
Micro Focus - Directory - 9.0,Micro Focus,Directory,9,29/01/16,01/02/19
Micro Focus - EndUserManagement5x - 9.5,Micro Focus,EndUserManagement5x,9.5,29/05/18,30/06/22
Micro Focus - EndUserManagement4x - 9.4,Micro Focus,EndUserManagement4x,9.4,17/08/17,31/08/21
Micro Focus - EndUserManagement3x - 9.3,Micro Focus,EndUserManagement3x,9.3,28/07/16,31/08/20
Micro Focus - EnterpriseAnalyzer - 6.0,Micro Focus,EnterpriseAnalyzer,6,18/06/20,30/06/24
Micro Focus - EnterpriseAnalyzer - 5.0,Micro Focus,EnterpriseAnalyzer,5,21/06/19,30/06/23
Micro Focus - EnterpriseAnalyzer - 4.0,Micro Focus,EnterpriseAnalyzer,4,21/06/18,30/06/22
Micro Focus - EnterpriseAnalyzer - 3.63,Micro Focus,EnterpriseAnalyzer,3.63,06/07/17,31/07/21
Micro Focus - EnterpriseAnalyzer - 3.62,Micro Focus,EnterpriseAnalyzer,3.62,30/11/16,30/11/20
Micro Focus - EnterpriseAnalyzer - 3.61,Micro Focus,EnterpriseAnalyzer,3.61,12/04/16,30/04/20
Micro Focus - EnterpriseAnalyzer - 3.60,Micro Focus,EnterpriseAnalyzer,3.6,05/10/15,31/10/19
Micro Focus - EnterpriseAnalyzer - 3.52,Micro Focus,EnterpriseAnalyzer,3.52,18/11/14,30/11/18
Micro Focus - EnterpriseAnalyzer - 3.500,Micro Focus,EnterpriseAnalyzer,3.5,31/10/13,31/10/17
Micro Focus - EnterpriseAnalyzer - 3.400,Micro Focus,EnterpriseAnalyzer,3.4,30/11/12,31/10/16
Micro Focus - EnterpriseAnalyzer - 3.300,Micro Focus,EnterpriseAnalyzer,3.3,11/04/12,31/05/15
Micro Focus - EnterpriseAnalyzerEnterpriseView - 6.0,Micro Focus,EnterpriseAnalyzerEnterpriseView,6,18/06/20,30/06/24
Micro Focus - EnterpriseAnalyzerEnterpriseView - 5.0,Micro Focus,EnterpriseAnalyzerEnterpriseView,5,21/06/19,30/06/26
Micro Focus - EnterpriseAnalyzerEnterpriseView - 4.00,Micro Focus,EnterpriseAnalyzerEnterpriseView,4,21/06/18,30/06/22
