concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - ChangeManZMFClientPack - 1.3,Micro Focus,ChangeManZMFClientPack,1.3,2017-03-30,2019-12-31
Micro Focus - ChangeManZMFClientPack - 1.2,Micro Focus,ChangeManZMFClientPack,1.2,2016-09-29,2019-06-30
Micro Focus - ChangeManZMFClientPack - 1.1.1,Micro Focus,ChangeManZMFClientPack,1.1.1,2016-05-26,2018-12-31
Micro Focus - ChangeManZMFClientPack - 1.1,Micro Focus,ChangeManZMFClientPack,1.1,2016-03-17,2018-12-31
Micro Focus - ChangeManZMFClientPack - 1.0.1,Micro Focus,ChangeManZMFClientPack,1.0.1,2015-08-27,2018-12-31
Micro Focus - ChangeManZMFClientPack - 1.0,Micro Focus,ChangeManZMFClientPack,1.0,2014-10-29,2018-12-31
Micro Focus - CloudAutomationSuiteExpressEdition - 2015.0,Micro Focus,CloudAutomationSuiteExpressEdition,2015.0,2015-06-29,2018-07-31
Micro Focus - CloudAutomationSuiteExpressEdition - 2014.1,Micro Focus,CloudAutomationSuiteExpressEdition,2014.1,2014-12-04,2017-12-31
Micro Focus - CloudAutomationSuiteExpressEdition - 2014.0,Micro Focus,CloudAutomationSuiteExpressEdition,2014.0,2014-07-23,2017-07-31
Micro Focus - CloudAutomationSuitePremiumEdition - 2015.0,Micro Focus,CloudAutomationSuitePremiumEdition,2015.0,2015-06-29,2018-07-31
Micro Focus - CloudAutomationSuiteUltimateEdition - 2015.0,Micro Focus,CloudAutomationSuiteUltimateEdition,2015.0,2015-06-29,2018-07-31
Micro Focus - CloudOptimizerCOpt1x - 3.1,Micro Focus,CloudOptimizerCOpt1x,3.1,2021-04-12,2025-04-30
Micro Focus - CloudOptimizer0x - 3.0,Micro Focus,CloudOptimizer0x,3.0,2016-01-26,2021-01-31
Micro Focus - CloudOptimizer - 3.0,Micro Focus,CloudOptimizer,3.0,,2021-10-31
Micro Focus - CloudServiceAutomationFoundation - 4.9,Micro Focus,CloudServiceAutomationFoundation,4.9,2020-03-17,2023-03-31
Micro Focus - CloudServiceAutomationFoundation - 4.94.9,Micro Focus,CloudServiceAutomationFoundation,4.94.9,2018-03-02,2021-03-31
Micro Focus - CloudServiceAutomationFoundation8x - 4.8,Micro Focus,CloudServiceAutomationFoundation8x,4.8,2017-01-25,2020-02-28
Micro Focus - CloudServiceAutomationFoundation7x - 4.7,Micro Focus,CloudServiceAutomationFoundation7x,4.7,2016-07-26,2019-08-31
Micro Focus - CloudAccess - 2.3,Micro Focus,CloudAccess,2.3,2015-12-04,2017-10-30
Micro Focus - CloudAccess - 2.2,Micro Focus,CloudAccess,2.2,2015-03-15,2016-12-30
Micro Focus - CloudAccess - 2.1,Micro Focus,CloudAccess,2.1,2014-07-01,2016-03-30
Micro Focus - CloudAccess - 2.0,Micro Focus,CloudAccess,2.0,2013-12-16,2015-07-30
Micro Focus - CloudAccess - 3.0.2,Micro Focus,CloudAccess,3.0.2,2017-02-21,2019-10-30
Micro Focus - CloudAccess - 3.0.1,Micro Focus,CloudAccess,3.0.1,2016-11-11,2018-02-28
Micro Focus - CloudAccess - 3.0,Micro Focus,CloudAccess,3.0,2016-10-27,2017-11-30
Micro Focus - COBOLRuntimeR4Update - 20102010,Micro Focus,COBOLRuntimeR4Update,20102010,2011-11-24,2013-12-31
Micro Focus - COBOLRuntimeR4Update - 20102010,Micro Focus,COBOLRuntimeR4Update,20102010,2011-09-22,2013-12-31
Micro Focus - COBOLRuntimeR4 - 20102010,Micro Focus,COBOLRuntimeR4,20102010,2011-06-21,2013-12-31
